InorganicFormula分子式,InorganicFormula组分1,InorganicFormula组分2,InorganicFormula组分3,球磨时间（h）,转速（转/分钟）,对应温度（℃）,自主合成,离子电导率ms cm-1
Na2.8Er0.8Zr0.2Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.003
Na2.6Er0.6Zr0.4Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.02
Na2.4Er0.4Zr0.6Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.04
Na2.3Er0.3Zr0.7Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.009
Na2.2Er0.2Zr0.8Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.0039
Na2.1Er0.1Zr0.9Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.012
NaAlCl4,NaCl,AlCl3,0,10,600,30,0,0.0039
NaTaCl6,NaCl,TaCl5,0,30,510,25,0,0.062
Na2.8In0.8Zr0.2Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.001
Na2.7In0.7Zr0.3Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.0025
Na2.6In0.6Zr0.4Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.0045
Na2.5In0.5Zr0.5Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.006
Na2.4In0.4Zr0.6Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.0074
Na2.3In0.3Zr0.7Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.0073
Na2.2In0.2Zr0.8Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.0071
Na2.15In0.15Zr0.85Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.02
Na2In0.9Zr0.1Cl6,NaCl,InCl3,ZrCl4,24.75,500,25,0,0.059
NaTaCl6,NaCl,TaCl5,0,6,600,25,0,0.045
NaTaCl6,NaCl,TaCl5,0,13,600,25,0,0.16
NaTaCl6,NaCl,TaCl5,0,26,600,25,0,0.35
NaTaCl6,NaCl,TaCl5,0,36,600,25,0,0.8
NaTaCl6,NaCl,TaCl5,0,40,600,25,0,4
NaTaCl6,NaCl,TaCl5,0,46,600,25,0,3
NaTaCl6,NaCl,TaCl5,0,53,600,25,0,4
NaTaCl6,NaCl,TaCl5,0,60,600,25,0,0.4
