InorganicFormula分子式,InorganicFormula组分1,InorganicFormula组分2,InorganicFormula组分3
NaLa0.2Ce0.2Zr0.2Al0.2Ta0.2Cl4.6,NaCl,LaCl3,CeCl3
Na1.525Sm0.38Hf0.62Cl6,NaCl,SmCl3,HfCl4
Na1.4625La0.43Hf0.57Cl6,NaCl,LaCl3,HfCl4
Na0.7775La0.89Ta0.11Cl6,NaCl,LaCl3,TaCl5
Na0.8575La0.57Ta0.43Cl6,NaCl,LaCl3,TaCl5
Na0.91La0.36Ta0.64Cl6,NaCl,LaCl3,TaCl5
Na0.945La0.22Ta0.78Cl6,NaCl,LaCl3,TaCl5
Na0.7775Sm0.89Ta0.11Cl6,NaCl,SmCl3,TaCl5
Na0.845Sm0.62Ta0.38Cl6,NaCl,SmCl3,TaCl5
Na0.91Sm0.36Ta0.64Cl6,NaCl,SmCl3,TaCl5
Na0.945Sm0.22Ta0.78Cl6,NaCl,SmCl3,TaCl5
Na1.9Zr0.9Ta0.1Cl6,NaCl,ZrCl4,TaCl5
Na1.8Zr0.8Ta0.2Cl6,NaCl,ZrCl4,TaCl5
Na1.7Zr0.7Ta0.3Cl6,NaCl,ZrCl4,TaCl5
Na1.6Zr0.6Ta0.4Cl6,NaCl,ZrCl4,TaCl5
Na1.4Zr0.4Ta0.6Cl6,NaCl,ZrCl4,TaCl5
Na1.3Zr0.3Ta0.7Cl6,NaCl,ZrCl4,TaCl5
Na1.2Zr0.2Ta0.8Cl6,NaCl,ZrCl4,TaCl5
Na1.1Zr0.1Ta0.9Cl6,NaCl,ZrCl4,TaCl5
NaLaTaCl9,NaCl,LaCl3,TaCl5
Na2.875Y0.875Zr0.125Cl6,NaCl,YCl3,ZrCl4
Na2.75Y0.75Zr0.25Cl6,NaCl,YCl3,ZrCl4
Na2.625Y0.625Zr0.375Cl6,NaCl,YCl3,ZrCl4
Na2.5Y0.5Zr0.5Cl6,NaCl,YCl3,ZrCl4
Na2.375Y0.375Zr0.625Cl6,NaCl,YCl3,ZrCl4
Na2.25Y0.25Zr0.75Cl6,NaCl,YCl3,ZrCl4
Na2.125Y0.125Zr0.875Cl6,NaCl,YCl3,ZrCl4
Na1.525Sm0.38Zr0.62Cl6,NaCl,SmCl3,ZrCl4
Na1.4625La0.43Zr0.57Cl6,NaCl,LaCl3,ZrCl4
Na0.875Y0.25Zr0.75Cl4.625,NaCl,YCl3,ZrCl4
Na0.750Y0.25Zr0.75Cl4.500,NaCl,YCl3,ZrCl4
Na0.625Y0.25Zr0.75Cl4.375,NaCl,YCl3,ZrCl4
Na0.500Y0.25Zr0.75Cl4.250,NaCl,YCl3,ZrCl4
Na0.375Y0.25Zr0.75Cl4.125,NaCl,YCl3,ZrCl4
Na0.250Y0.25Zr0.75Cl4.000,NaCl,YCl3,ZrCl4
Na2.4Er0.4Zr0.6Cl6,NaCl,ErCl3,ZrCl4
Na3Yb0.75Zr0.25Cl6,NaCl,YbCl3,ZrCl4
Na3Yb0.5Zr0.5Cl6,NaCl,YbCl3,ZrCl4
Na3Yb0.375Zr0.625Cl6,NaCl,YbCl3,ZrCl4
Na3Yb0.25Zr0.75Cl6,NaCl,YbCl3,ZrCl4
Na3Yb0.125Zr0.875Cl6,NaCl,YbCl3,ZrCl4
Na0.9La0.9Zr0.1Cl4,NaCl,LaCl3,ZrCl4
Na0.8La0.8Zr0.2Cl4,NaCl,LaCl3,ZrCl4
Na0.7La0.7Zr0.3Cl4,NaCl,LaCl3,ZrCl4
Na0.6La0.6Zr0.4Cl4,NaCl,LaCl3,ZrCl4
Na2.75Cr0.75Zr0.25Cl6,NaCl,CrCl3,ZrCl4
Na2.5Cr0.5Zr0.5Cl6,NaCl,CrCl3,ZrCl4
Na2.25Cr0.25Zr0.75Cl6,NaCl,CrCl3,ZrCl4
Na2.8Er0.8Zr0.2Cl6,NaCl,ErCl3,ZrCl4
Na2.6Er0.6Zr0.4Cl6,NaCl,ErCl3,ZrCl4
Na2.4Er0.4Zr0.6Cl6,NaCl,ErCl3,ZrCl4
Na2.3Er0.3Zr0.7Cl6,NaCl,ErCl3,ZrCl4
Na2.2Er0.2Zr0.8Cl6,NaCl,ErCl3,ZrCl4
Na2.1Er0.1Zr0.9Cl6,NaCl,ErCl3,ZrCl4
Na2.8In0.8Zr0.2Cl6,NaCl,InCl3,ZrCl4
Na2.7In0.7Zr0.3Cl6,NaCl,InCl3,ZrCl4
Na2.6In0.6Zr0.4Cl6,NaCl,InCl3,ZrCl4
Na2.5In0.5Zr0.5Cl6,NaCl,InCl3,ZrCl4
Na2.4In0.4Zr0.6Cl6,NaCl,InCl3,ZrCl4
Na2.3In0.3Zr0.7Cl6,NaCl,InCl3,ZrCl4
Na2.2In0.2Zr0.8Cl6,NaCl,InCl3,ZrCl4
Na2.15In0.15Zr0.85Cl6,NaCl,InCl3,ZrCl4
Na2In0.9Zr0.1Cl6,NaCl,InCl3,ZrCl4
