inorganic_formula_1_orbital_LUMO_energy,inorganic_formula_1_element_property_MagpieData mean Number,inorganic_formula_1_element_property_MagpieData range Number,inorganic_formula_1_element_property_MagpieData avg_dev Number,inorganic_formula_1_element_property_MagpieData mean MendeleevNumber,inorganic_formula_1_element_property_MagpieData maximum MendeleevNumber,inorganic_formula_1_element_property_MagpieData avg_dev MendeleevNumber,inorganic_formula_1_element_property_MagpieData avg_dev AtomicWeight,inorganic_formula_1_element_property_MagpieData mean MeltingT,inorganic_formula_1_element_property_MagpieData avg_dev MeltingT,inorganic_formula_1_element_property_MagpieData mean Column,inorganic_formula_1_element_property_MagpieData mean Row,inorganic_formula_1_element_property_MagpieData avg_dev Row,inorganic_formula_1_element_property_MagpieData mean CovalentRadius,inorganic_formula_1_element_property_MagpieData mean Electronegativity,inorganic_formula_1_element_property_MagpieData avg_dev Electronegativity,inorganic_formula_1_element_property_MagpieData mean NsValence,inorganic_formula_1_element_property_MagpieData avg_dev NsValence,inorganic_formula_1_element_property_MagpieData mean NpValence,inorganic_formula_1_element_property_MagpieData avg_dev NpValence,inorganic_formula_1_element_property_MagpieData mean NdValence,inorganic_formula_1_element_property_MagpieData avg_dev NdValence,inorganic_formula_1_element_property_MagpieData mean NValence,inorganic_formula_1_element_property_MagpieData avg_dev NValence,inorganic_formula_1_element_property_MagpieData mean NsUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NsUnfilled,inorganic_formula_1_element_property_MagpieData mean NpUnfilled,inorganic_formula_1_element_property_MagpieData mean NdUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NdUnfilled,inorganic_formula_1_element_property_MagpieData mean NfUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NfUnfilled,inorganic_formula_1_element_property_MagpieData mean GSvolume_pa,inorganic_formula_1_element_property_MagpieData avg_dev GSvolume_pa,inorganic_formula_1_element_property_MagpieData mean GSbandgap,inorganic_formula_1_element_property_MagpieData avg_dev GSbandgap,inorganic_formula_1_element_property_MagpieData mean SpaceGroupNumber,inorganic_formula_1_element_property_MagpieData avg_dev SpaceGroupNumber,inorganic_formula_1_element_fraction_Na,inorganic_formula_1_element_fraction_Cl,inorganic_formula_1_element_fraction_Zr,inorganic_formula_1_element_fraction_Ta,inorganic_formula_2_orbital_HOMO_energy,inorganic_formula_2_orbital_LUMO_energy,inorganic_formula_2_element_property_MagpieData mean Electronegativity,inorganic_formula_2_element_property_MagpieData minimum Electronegativity,inorganic_formula_3_element_fraction_Ta,inorganic_formula_4_element_property_MagpieData mean NUnfilled,inorganic_formula_4_element_property_MagpieData range GSvolume_pa,inorganic_formula_4_element_property_MagpieData avg_dev GSvolume_pa,inorganic_formula_4_element_property_MagpieData mean SpaceGroupNumber,inorganic_formula_4_element_property_MagpieData maximum SpaceGroupNumber,Time（h）,Speed (RPM),temperature(℃),if Autonomous synthesis,Target(ms cm-1)
-0.286408,20.5,59,9.9,60.9,94,39.72,25.51597384,323.421,182.1852,10.8,3.3,0.54,129.7,2.301,1.0308,1.7,0.42,3,2.4,0,0,6.1,3.06,0.3,0.42,0.6,0,0,0,0,26.8835,2.8632,1.4958,1.19664,129.6,78.72,0.3,0.6,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,14,500,25,0,0.0000032
-0.162391,18.22222222,29,4.839506173,68,94,34.66666667,11.63196201,433.26,376.6088889,12,3.222222222,0.395061728,124.3333333,2.461111111,0.931851852,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,5.333333333,2.222222222,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.40740741,1.704855967,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0.111111111,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,14,500,25,0,0.032
-0.141085,22.66666667,46,11.44444444,65.16666667,94,38.44444444,29.42919893,375.045,272.6516667,12,3.5,0.833333333,130.1666667,2.445,0.953333333,1.833333333,0.277777778,3.333333333,2.222222222,0.166666667,0.277777778,5.333333333,2.222222222,0.166666667,0.277777778,0.666666667,1.5,2.5,0,0,27.35513889,3.810185185,1.662,1.108,113.1666667,65.55555556,0.166666667,0.666666667,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,10,500,25,0,0.0009
-0.162391,18.22222222,29,4.839506173,68,94,34.66666667,11.63196201,433.26,376.6088889,12,3.222222222,0.395061728,124.3333333,2.461111111,0.931851852,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,5.333333333,2.222222222,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.40740741,1.704855967,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0.111111111,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,20,600,25,0,0.013
-0.118123,15.9,13,2.94,61.9,94,38.52,6.227142902,432.221,349.5558,11.1,3.1,0.18,124.9,2.341,0.9828,1.6,0.48,3,2.4,0.5,0.9,5.1,2.46,0.4,0.48,0.6,0.5,0.9,0,0,24.5905,2.7917,1.4958,1.19664,130,79.2,0.3,0.6,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,20,600,25,0,0.000035
-0.162391,18.22222222,29,4.839506173,68,94,34.66666667,11.63196201,433.26,376.6088889,12,3.222222222,0.395061728,124.3333333,2.461111111,0.931851852,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,5.333333333,2.222222222,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.40740741,1.704855967,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0.111111111,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,10,600,30,0,0.018
-0.278577,20.3,57,9.54,60.5,94,40.2,24.47287384,391.221,275.7558,10.8,3.3,0.54,129.9,2.299,1.0332,1.7,0.42,3,2.4,0,0,5.9,2.94,0.3,0.42,0.6,0,0,0.2,0.36,26.53,2.439,1.4958,1.19664,126.5,75,0.3,0.6,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,24.75,500,25,0,0.000001
-0.286883,15.33333333,6,2.222222222,75.16666667,94,25.11111111,4.652153804,331.79,213.5866667,13.66666667,3,0,115.8333333,2.53,0.84,1.833333333,0.277777778,3.5,2,0,0,5.333333333,2.222222222,0.166666667,0.277777778,1.5,0,0,0,0,23.95222222,2.490740741,1.662,1.108,118.3333333,72.44444444,0.166666667,0.666666667,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,10,600,30,0,0.0039
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,30,510,25,0,0.062
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,6,600,25,0,0.045
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,13,600,25,0,0.16
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,26,600,25,0,0.35
